Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Country/Region,City,State/Province,Postal Code,Division,Region,Product ID,Product Name,Sales,Units,Gross Profit,Cost,LeadTime,Cluster
14,US-2021-167199-CHO-FUD-51000,06-01-2024,03-07-2026,3,167199,United States,Henderson,Kentucky,42420,0,1,CHO-FUD-51000,8,7.2,2,4.8,2.4,5,0
15,US-2021-105417-CHO-MIL-31000,07-01-2024,05-07-2026,3,105417,United States,Huntsville,Texas,77340,0,2,CHO-MIL-31000,9,9.75,3,6.33,3.42,4,0
16,US-2021-105417-CHO-TRI-54000,07-01-2024,05-07-2026,3,105417,United States,Huntsville,Texas,77340,0,2,CHO-TRI-54000,11,26.25,7,17.15,9.1,3,1
17,US-2021-135405-CHO-TRI-54000,09-01-2024,06-07-2026,3,135405,United States,Laredo,Texas,78041,0,2,CHO-TRI-54000,11,7.5,2,4.9,2.6,6,0
18,US-2021-135405-CHO-TRI-54000,09-01-2024,06-07-2026,3,135405,United States,Laredo,Texas,78041,0,2,CHO-TRI-54000,11,11.25,3,7.35,3.9,5,0
19,US-2021-149020-CHO-MIL-31000,10-01-2024,08-07-2026,3,149020,United States,Springfield,Virginia,22153,0,1,CHO-MIL-31000,9,3.25,1,2.11,1.14,2,0
20,US-2021-149020-OTH-GUM-21000,10-01-2024,08-07-2026,3,149020,United States,Springfield,Virginia,22153,1,1,OTH-GUM-21000,13,1.25,1,0.65,0.6,4,0
21,US-2021-130092-CHO-MIL-31000,11-01-2024,07-07-2026,0,130092,United States,Dover,Delaware,19901,0,0,CHO-MIL-31000,9,6.5,2,4.22,2.28,6,0
22,US-2021-157147-CHO-MIL-31000,13-01-2024,11-07-2026,3,157147,United States,San Francisco,California,94109,0,3,CHO-MIL-31000,9,9.75,3,6.33,3.42,6,0
23,US-2021-109232-CHO-NUT-13000,13-01-2024,09-07-2026,2,109232,United States,Mount Pleasant,South Carolina,29464,0,1,CHO-NUT-13000,10,20.94,6,14.94,6.0,2,1
24,US-2021-157147-CHO-MIL-31000,13-01-2024,11-07-2026,3,157147,United States,San Francisco,California,94109,0,3,CHO-MIL-31000,9,16.25,5,10.55,5.7,4,2
25,US-2021-118192-CHO-SCR-58000,13-01-2024,11-07-2026,3,118192,United States,Newark,Ohio,43055,0,0,CHO-SCR-58000,12,7.2,2,5.0,2.2,5,0
26,US-2021-162775-CHO-TRI-54000,13-01-2024,08-07-2026,2,162775,United States,Bossier City,Louisiana,71111,0,1,CHO-TRI-54000,11,11.25,3,7.35,3.9,1,0
27,US-2021-162775-OTH-KAZ-38000,13-01-2024,08-07-2026,2,162775,United States,Bossier City,Louisiana,71111,1,1,OTH-KAZ-38000,3,9.75,3,0.75,9.0,4,0
28,US-2021-162775-CHO-MIL-31000,13-01-2024,08-07-2026,2,162775,United States,Bossier City,Louisiana,71111,0,1,CHO-MIL-31000,9,6.5,2,4.22,2.28,2,0
29,US-2021-118192-CHO-SCR-58000,13-01-2024,11-07-2026,3,118192,United States,Newark,Ohio,43055,0,0,CHO-SCR-58000,12,25.2,7,17.5,7.7,6,1
30,US-2021-162775-CHO-MIL-31000,13-01-2024,08-07-2026,2,162775,United States,Bossier City,Louisiana,71111,0,1,CHO-MIL-31000,9,19.5,6,12.66,6.84,5,2
31,US-2021-157147-CHO-NUT-13000,13-01-2024,11-07-2026,3,157147,United States,San Francisco,California,94109,0,3,CHO-NUT-13000,10,17.45,5,12.45,5.0,4,2
32,US-2021-162775-CHO-SCR-58000,13-01-2024,08-07-2026,2,162775,United States,Bossier City,Louisiana,71111,0,1,CHO-SCR-58000,12,21.6,6,15.0,6.6,1,1
33,US-2021-149524-OTH-GUM-21000,14-01-2024,08-07-2026,0,149524,United States,Philadelphia,Pennsylvania,19140,1,0,OTH-GUM-21000,13,5.0,4,2.6,2.4,1,0
34,US-2021-103366-CHO-SCR-58000,15-01-2024,10-07-2026,0,103366,United States,Roswell,Georgia,30076,0,1,CHO-SCR-58000,12,18.0,5,12.5,5.5,3,2
35,US-2021-115791-CHO-TRI-54000,16-01-2024,11-07-2026,2,115791,United States,Philadelphia,Pennsylvania,19134,0,0,CHO-TRI-54000,11,22.5,6,14.7,7.8,3,1
36,US-2021-115791-CHO-FUD-51000,16-01-2024,11-07-2026,2,115791,United States,Philadelphia,Pennsylvania,19134,0,0,CHO-FUD-51000,8,7.2,2,4.8,2.4,7,0
37,US-2021-115791-CHO-TRI-54000,16-01-2024,11-07-2026,2,115791,United States,Philadelphia,Pennsylvania,19134,0,0,CHO-TRI-54000,11,11.25,3,7.35,3.9,2,0
38,US-2021-115791-CHO-SCR-58000,16-01-2024,11-07-2026,2,115791,United States,Philadelphia,Pennsylvania,19134,0,0,CHO-SCR-58000,12,10.8,3,7.5,3.3,4,0
39,US-2021-123477-CHO-NUT-13000,18-01-2024,14-07-2026,2,123477,United States,Springfield,Oregon,97477,0,3,CHO-NUT-13000,10,13.96,4,9.96,4.0,4,2
40,US-2021-146591-CHO-TRI-54000,19-01-2024,13-07-2026,0,146591,United States,Scottsdale,Arizona,85254,0,3,CHO-TRI-54000,11,18.75,5,12.25,6.5,7,2
42,US-2021-146591-CHO-TRI-54000,19-01-2024,13-07-2026,0,146591,United States,Scottsdale,Arizona,85254,0,3,CHO-TRI-54000,11,18.75,5,12.25,6.5,6,2
43,US-2021-146591-CHO-FUD-51000,19-01-2024,13-07-2026,0,146591,United States,Scottsdale,Arizona,85254,0,3,CHO-FUD-51000,8,14.4,4,9.6,4.8,7,2
44,US-2021-147627-CHO-TRI-54000,20-01-2024,19-07-2026,3,147627,United States,Jonesboro,Arkansas,72401,0,1,CHO-TRI-54000,11,11.25,3,7.35,3.9,6,0
45,US-2021-167927-CHO-FUD-51000,20-01-2024,19-07-2026,3,167927,United States,Westland,Michigan,48185,0,2,CHO-FUD-51000,8,10.8,3,7.2,3.6,3,0
46,US-2021-167927-CHO-FUD-51000,20-01-2024,19-07-2026,3,167927,United States,Westland,Michigan,48185,0,2,CHO-FUD-51000,8,10.8,3,7.2,3.6,4,0
47,US-2021-147627-CHO-MIL-31000,20-01-2024,19-07-2026,3,147627,United States,Jonesboro,Arkansas,72401,0,1,CHO-MIL-31000,9,13.0,4,8.44,4.56,7,2
48,US-2021-148614-CHO-MIL-31000,20-01-2024,18-07-2026,3,148614,United States,Los Angeles,California,90049,0,3,CHO-MIL-31000,9,6.5,2,4.22,2.28,4,0
49,US-2021-167927-CHO-FUD-51000,20-01-2024,19-07-2026,3,167927,United States,Westland,Michigan,48185,0,2,CHO-FUD-51000,8,14.4,4,9.6,4.8,1,2
50,US-2021-147627-CHO-TRI-54000,20-01-2024,19-07-2026,3,147627,United States,Jonesboro,Arkansas,72401,0,1,CHO-TRI-54000,11,26.25,7,17.15,9.1,3,1
51,US-2021-147627-CHO-SCR-58000,20-01-2024,19-07-2026,3,147627,United States,Jonesboro,Arkansas,72401,0,1,CHO-SCR-58000,12,10.8,3,7.5,3.3,5,0
52,US-2021-167927-CHO-NUT-13000,20-01-2024,19-07-2026,3,167927,United States,Westland,Michigan,48185,0,2,CHO-NUT-13000,10,10.47,3,7.47,3.0,3,0
53,US-2021-167927-CHO-MIL-31000,20-01-2024,19-07-2026,3,167927,United States,Westland,Michigan,48185,0,2,CHO-MIL-31000,9,16.25,5,10.55,5.7,7,2
54,US-2021-147774-CHO-NUT-13000,20-01-2024,19-07-2026,3,147774,United States,Smyrna,Tennessee,37167,0,1,CHO-NUT-13000,10,3.49,1,2.49,1.0,5,0
55,US-2021-167927-CHO-TRI-54000,20-01-2024,19-07-2026,3,167927,United States,Westland,Michigan,48185,0,2,CHO-TRI-54000,11,18.75,5,12.25,6.5,1,2
56,US-2021-147627-CHO-FUD-51000,20-01-2024,19-07-2026,3,147627,United States,Jonesboro,Arkansas,72401,0,1,CHO-FUD-51000,8,10.8,3,7.2,3.6,7,0
57,US-2021-148614-CHO-SCR-58000,20-01-2024,18-07-2026,3,148614,United States,Los Angeles,California,90049,0,3,CHO-SCR-58000,12,7.2,2,5.0,2.2,2,0
58,US-2021-167927-CHO-FUD-51000,20-01-2024,19-07-2026,3,167927,United States,Westland,Michigan,48185,0,2,CHO-FUD-51000,8,3.6,1,2.4,1.2,4,0
59,US-2021-167927-CHO-MIL-31000,20-01-2024,19-07-2026,3,167927,United States,Westland,Michigan,48185,0,2,CHO-MIL-31000,9,6.5,2,4.22,2.28,1,0
60,US-2021-147627-CHO-FUD-51000,20-01-2024,19-07-2026,3,147627,United States,Jonesboro,Arkansas,72401,0,1,CHO-FUD-51000,8,25.2,7,16.8,8.4,4,1
61,US-2021-110422-CHO-TRI-54000,21-01-2024,16-07-2026,2,110422,United States,Miami,Florida,33180,0,1,CHO-TRI-54000,11,11.25,3,7.35,3.9,6,0
62,CA-2021-115238-CHO-FUD-51000,21-01-2024,17-07-2026,3,115238,Canada,Toronto,Ontario,M7A,0,0,CHO-FUD-51000,8,18.0,5,12.0,6.0,2,2
63,CA-2021-115238-CHO-MIL-31000,21-01-2024,17-07-2026,3,115238,Canada,Toronto,Ontario,M7A,0,0,CHO-MIL-31000,9,3.25,1,2.11,1.14,2,0
64,CA-2021-115238-CHO-TRI-54000,21-01-2024,17-07-2026,3,115238,Canada,Toronto,Ontario,M7A,0,0,CHO-TRI-54000,11,18.75,5,12.25,6.5,1,2
65,CA-2021-115238-CHO-FUD-51000,21-01-2024,17-07-2026,3,115238,Canada,Toronto,Ontario,M7A,0,0,CHO-FUD-51000,8,3.6,1,2.4,1.2,2,0
67,US-2021-146997-CHO-TRI-54000,23-01-2024,20-07-2026,3,146997,United States,Lafayette,Indiana,47905,0,2,CHO-TRI-54000,11,11.25,3,7.35,3.9,2,0
68,US-2021-102645-CHO-FUD-51000,23-01-2024,21-07-2026,3,102645,United States,Las Vegas,Nevada,89115,0,3,CHO-FUD-51000,8,21.6,6,14.4,7.2,4,1
69,US-2021-167997-CHO-TRI-54000,26-01-2024,22-07-2026,0,167997,United States,Rapid City,South Dakota,57701,0,2,CHO-TRI-54000,11,7.5,2,4.9,2.6,4,0
70,US-2021-155502-CHO-MIL-31000,26-01-2024,24-07-2026,3,155502,United States,Alexandria,Virginia,22304,0,1,CHO-MIL-31000,9,9.75,3,6.33,3.42,7,0
71,US-2021-155502-CHO-MIL-31000,26-01-2024,24-07-2026,3,155502,United States,Alexandria,Virginia,22304,0,1,CHO-MIL-31000,9,9.75,3,6.33,3.42,4,0
72,US-2021-167997-CHO-TRI-54000,26-01-2024,22-07-2026,0,167997,United States,Rapid City,South Dakota,57701,0,2,CHO-TRI-54000,11,7.5,2,4.9,2.6,7,0
73,US-2021-155502-CHO-MIL-31000,26-01-2024,24-07-2026,3,155502,United States,Alexandria,Virginia,22304,0,1,CHO-MIL-31000,9,6.5,2,4.22,2.28,4,0
74,US-2021-155502-CHO-TRI-54000,26-01-2024,24-07-2026,3,155502,United States,Alexandria,Virginia,22304,0,1,CHO-TRI-54000,11,11.25,3,7.35,3.9,5,0
75,US-2021-155502-CHO-MIL-31000,26-01-2024,24-07-2026,3,155502,United States,Alexandria,Virginia,22304,0,1,CHO-MIL-31000,9,26.0,8,16.88,9.12,7,1
76,US-2021-155502-CHO-FUD-51000,26-01-2024,24-07-2026,3,155502,United States,Alexandria,Virginia,22304,0,1,CHO-FUD-51000,8,7.2,2,4.8,2.4,3,0
78,US-2021-117163-CHO-NUT-13000,27-01-2024,26-07-2026,3,117163,United States,San Diego,California,92037,0,3,CHO-NUT-13000,10,10.47,3,7.47,3.0,1,0
79,US-2021-117163-CHO-TRI-54000,27-01-2024,26-07-2026,3,117163,United States,San Diego,California,92037,0,3,CHO-TRI-54000,11,15.0,4,9.8,5.2,4,2
80,US-2021-117163-CHO-SCR-58000,27-01-2024,26-07-2026,3,117163,United States,San Diego,California,92037,0,3,CHO-SCR-58000,12,3.6,1,2.5,1.1,2,0
81,US-2021-100328-CHO-MIL-31000,28-01-2024,27-07-2026,3,100328,United States,New York City,New York,10024,0,0,CHO-MIL-31000,9,3.25,1,2.11,1.14,4,0
82,US-2021-134103-CHO-NUT-13000,30-01-2024,28-07-2026,3,134103,United States,Detroit,Michigan,48234,0,2,CHO-NUT-13000,10,6.98,2,4.98,2.0,2,0
83,US-2021-134103-CHO-NUT-13000,30-01-2024,28-07-2026,3,134103,United States,Detroit,Michigan,48234,0,2,CHO-NUT-13000,10,6.98,2,4.98,2.0,6,0
84,US-2021-115161-CHO-MIL-31000,31-01-2024,26-07-2026,0,115161,United States,Mission Viejo,California,92691,0,3,CHO-MIL-31000,9,6.5,2,4.22,2.28,6,0
85,US-2021-140795-CHO-SCR-58000,01-02-2024,27-07-2026,0,140795,United States,Green Bay,Wisconsin,54302,0,2,CHO-SCR-58000,12,21.6,6,15.0,6.6,6,1
86,US-2021-123400-CHO-MIL-31000,02-02-2024,02-08-2026,3,123400,United States,Saint Petersburg,Florida,33710,0,1,CHO-MIL-31000,9,6.5,2,4.22,2.28,2,0
87,US-2021-139857-CHO-FUD-51000,02-02-2024,30-07-2026,3,139857,United States,San Diego,California,92037,0,3,CHO-FUD-51000,8,18.0,5,12.0,6.0,4,2
88,US-2021-123400-CHO-TRI-54000,02-02-2024,02-08-2026,3,123400,United States,Saint Petersburg,Florida,33710,0,1,CHO-TRI-54000,11,18.75,5,12.25,6.5,6,2
89,US-2021-111059-CHO-NUT-13000,03-02-2024,30-07-2026,2,111059,United States,Seattle,Washington,98105,0,3,CHO-NUT-13000,10,10.47,3,7.47,3.0,5,0
90,US-2021-111059-CHO-SCR-58000,03-02-2024,30-07-2026,2,111059,United States,Seattle,Washington,98105,0,3,CHO-SCR-58000,12,7.2,2,5.0,2.2,7,0
91,US-2021-104808-CHO-FUD-51000,04-02-2024,01-08-2026,2,104808,United States,Escondido,California,92025,0,3,CHO-FUD-51000,8,7.2,2,4.8,2.4,2,0
92,US-2021-107181-CHO-TRI-54000,04-02-2024,01-08-2026,3,107181,United States,San Diego,California,92024,0,3,CHO-TRI-54000,11,11.25,3,7.35,3.9,2,0
94,US-2021-108182-CHO-NUT-13000,06-02-2024,03-08-2026,2,108182,United States,Romeoville,Illinois,60441,0,2,CHO-NUT-13000,10,6.98,2,4.98,2.0,2,0
95,US-2021-131905-CHO-TRI-54000,06-02-2024,02-08-2026,0,131905,United States,Chesapeake,Virginia,23320,0,1,CHO-TRI-54000,11,15.0,4,9.8,5.2,2,2
96,US-2021-131905-CHO-NUT-13000,06-02-2024,02-08-2026,0,131905,United States,Chesapeake,Virginia,23320,0,1,CHO-NUT-13000,10,17.45,5,12.45,5.0,6,2
97,US-2021-131905-CHO-MIL-31000,06-02-2024,02-08-2026,0,131905,United States,Chesapeake,Virginia,23320,0,1,CHO-MIL-31000,9,3.25,1,2.11,1.14,4,0
98,US-2021-169390-CHO-MIL-31000,07-02-2024,03-08-2026,2,169390,United States,New York City,New York,10024,0,0,CHO-MIL-31000,9,13.0,4,8.44,4.56,6,2
99,US-2021-107755-CHO-FUD-51000,07-02-2024,05-08-2026,3,107755,United States,Linden,New Jersey,7036,0,0,CHO-FUD-51000,8,25.2,7,16.8,8.4,7,1
100,US-2021-125759-OTH-GUM-21000,08-02-2024,02-08-2026,0,125759,United States,North Las Vegas,Nevada,89031,1,3,OTH-GUM-21000,13,2.5,2,1.3,1.2,7,0
101,US-2021-168368-CHO-TRI-54000,11-02-2024,08-08-2026,2,168368,United States,Columbia,Missouri,65203,0,2,CHO-TRI-54000,11,3.75,1,2.45,1.3,6,0
102,US-2021-168368-CHO-TRI-54000,11-02-2024,08-08-2026,2,168368,United States,Columbia,Missouri,65203,0,2,CHO-TRI-54000,11,11.25,3,7.35,3.9,7,0
103,US-2021-127614-CHO-MIL-31000,11-02-2024,08-08-2026,3,127614,United States,Chesapeake,Virginia,23320,0,1,CHO-MIL-31000,9,19.5,6,12.66,6.84,4,2
104,US-2021-127614-CHO-MIL-31000,11-02-2024,08-08-2026,3,127614,United States,Chesapeake,Virginia,23320,0,1,CHO-MIL-31000,9,6.5,2,4.22,2.28,1,0
105,US-2021-168368-CHO-NUT-13000,11-02-2024,08-08-2026,2,168368,United States,Columbia,Missouri,65203,0,2,CHO-NUT-13000,10,10.47,3,7.47,3.0,6,0
106,US-2021-168368-CHO-SCR-58000,11-02-2024,08-08-2026,2,168368,United States,Columbia,Missouri,65203,0,2,CHO-SCR-58000,12,7.2,2,5.0,2.2,5,0
107,US-2021-168368-CHO-SCR-58000,11-02-2024,08-08-2026,2,168368,United States,Columbia,Missouri,65203,0,2,CHO-SCR-58000,12,10.8,3,7.5,3.3,5,0
108,US-2021-168368-CHO-TRI-54000,11-02-2024,08-08-2026,2,168368,United States,Columbia,Missouri,65203,0,2,CHO-TRI-54000,11,7.5,2,4.9,2.6,2,0
109,US-2021-127614-CHO-SCR-58000,11-02-2024,08-08-2026,3,127614,United States,Chesapeake,Virginia,23320,0,1,CHO-SCR-58000,12,10.8,3,7.5,3.3,7,0
110,US-2021-110674-CHO-SCR-58000,12-02-2024,11-08-2026,3,110674,United States,Concord,California,94521,0,3,CHO-SCR-58000,12,7.2,2,5.0,2.2,5,0
111,US-2021-121762-CHO-FUD-51000,14-02-2024,11-08-2026,3,121762,United States,Seattle,Washington,98103,0,3,CHO-FUD-51000,8,7.2,2,4.8,2.4,2,0
112,US-2021-107706-CHO-MIL-31000,14-02-2024,12-08-2026,2,107706,United States,Houston,Texas,77095,0,2,CHO-MIL-31000,9,9.75,3,6.33,3.42,1,0
113,US-2021-121762-CHO-SCR-58000,14-02-2024,11-08-2026,3,121762,United States,Seattle,Washington,98103,0,3,CHO-SCR-58000,12,7.2,2,5.0,2.2,4,0
114,US-2021-121762-CHO-SCR-58000,14-02-2024,11-08-2026,3,121762,United States,Seattle,Washington,98103,0,3,CHO-SCR-58000,12,10.8,3,7.5,3.3,4,0
115,US-2021-165568-CHO-SCR-58000,15-02-2024,12-08-2026,3,165568,United States,Seattle,Washington,98105,0,3,CHO-SCR-58000,12,18.0,5,12.5,5.5,4,2
116,US-2021-122567-CHO-FUD-51000,16-02-2024,14-08-2026,3,122567,United States,Dallas,Texas,75220,0,2,CHO-FUD-51000,8,7.2,2,4.8,2.4,5,0
117,US-2021-122567-CHO-TRI-54000,16-02-2024,14-08-2026,3,122567,United States,Dallas,Texas,75220,0,2,CHO-TRI-54000,11,11.25,3,7.35,3.9,1,0
119,US-2021-165589-CHO-TRI-54000,18-02-2024,11-08-2026,1,165589,United States,Lubbock,Texas,79424,0,2,CHO-TRI-54000,11,18.75,5,12.25,6.5,7,2
120,US-2021-152905-CHO-FUD-51000,18-02-2024,17-08-2026,3,152905,United States,Arlington,Texas,76017,0,2,CHO-FUD-51000,8,7.2,2,4.8,2.4,5,0
121,US-2021-109491-CHO-MIL-31000,20-02-2024,19-08-2026,3,109491,United States,Richmond,Indiana,47374,0,2,CHO-MIL-31000,9,13.0,4,8.44,4.56,1,2
122,US-2021-164903-CHO-SCR-58000,20-02-2024,17-08-2026,3,164903,United States,Los Angeles,California,90049,0,3,CHO-SCR-58000,12,7.2,2,5.0,2.2,1,0
123,US-2021-109491-CHO-MIL-31000,20-02-2024,19-08-2026,3,109491,United States,Richmond,Indiana,47374,0,2,CHO-MIL-31000,9,9.75,3,6.33,3.42,7,0
124,US-2021-165540-CHO-TRI-54000,21-02-2024,18-08-2026,3,165540,United States,Woodstock,Illinois,60098,0,2,CHO-TRI-54000,11,18.75,5,12.25,6.5,1,2
125,US-2021-133354-CHO-NUT-13000,22-02-2024,17-08-2026,0,133354,United States,Moreno Valley,California,92553,0,3,CHO-NUT-13000,10,10.47,3,7.47,3.0,1,0
126,US-2021-103744-CHO-SCR-58000,23-02-2024,20-08-2026,3,103744,United States,El Paso,Texas,79907,0,2,CHO-SCR-58000,12,10.8,3,7.5,3.3,4,0
127,US-2021-103744-OTH-GUM-21000,23-02-2024,20-08-2026,3,103744,United States,El Paso,Texas,79907,1,2,OTH-GUM-21000,13,3.75,3,1.95,1.8,7,0
128,US-2021-137680-CHO-FUD-51000,24-02-2024,23-08-2026,3,137680,United States,Medford,Oregon,97504,0,3,CHO-FUD-51000,8,10.8,3,7.2,3.6,3,0
129,US-2021-137680-CHO-MIL-31000,24-02-2024,23-08-2026,3,137680,United States,Medford,Oregon,97504,0,3,CHO-MIL-31000,9,13.0,4,8.44,4.56,3,2
130,US-2021-156545-CHO-FUD-51000,27-02-2024,24-08-2026,0,156545,United States,Columbus,Ohio,43229,0,0,CHO-FUD-51000,8,14.4,4,9.6,4.8,1,2
131,US-2021-113880-CHO-NUT-13000,01-03-2024,26-08-2026,3,113880,United States,Elmhurst,Illinois,60126,0,2,CHO-NUT-13000,10,20.94,6,14.94,6.0,3,1
132,US-2021-131009-CHO-SCR-58000,01-03-2024,26-08-2026,3,131009,United States,El Paso,Texas,79907,0,2,CHO-SCR-58000,12,21.6,6,15.0,6.6,3,1
133,US-2021-104269-CHO-SCR-58000,01-03-2024,27-08-2026,2,104269,United States,Seattle,Washington,98115,0,3,CHO-SCR-58000,12,7.2,2,5.0,2.2,1,0
134,US-2021-131009-CHO-TRI-54000,01-03-2024,26-08-2026,3,131009,United States,El Paso,Texas,79907,0,2,CHO-TRI-54000,11,22.5,6,14.7,7.8,3,1
135,US-2021-168312-CHO-SCR-58000,01-03-2024,28-08-2026,3,168312,United States,Houston,Texas,77036,0,2,CHO-SCR-58000,12,10.8,3,7.5,3.3,5,0
136,US-2021-131009-CHO-FUD-51000,01-03-2024,26-08-2026,3,131009,United States,El Paso,Texas,79907,0,2,CHO-FUD-51000,8,18.0,5,12.0,6.0,2,2
138,US-2021-131009-CHO-TRI-54000,01-03-2024,26-08-2026,3,131009,United States,El Paso,Texas,79907,0,2,CHO-TRI-54000,11,11.25,3,7.35,3.9,2,0
139,US-2021-168312-CHO-SCR-58000,01-03-2024,28-08-2026,3,168312,United States,Houston,Texas,77036,0,2,CHO-SCR-58000,12,10.8,3,7.5,3.3,1,0
140,US-2021-143707-CHO-SCR-58000,01-03-2024,26-08-2026,3,143707,United States,New York City,New York,10035,0,0,CHO-SCR-58000,12,10.8,3,7.5,3.3,4,0
141,US-2021-107524-CHO-MIL-31000,02-03-2024,29-08-2026,3,107524,United States,New York City,New York,10009,0,0,CHO-MIL-31000,9,6.5,2,4.22,2.28,7,0
142,US-2021-111157-CHO-TRI-54000,02-03-2024,27-08-2026,3,111157,United States,Philadelphia,Pennsylvania,19120,0,0,CHO-TRI-54000,11,3.75,1,2.45,1.3,1,0
143,US-2021-107524-CHO-NUT-13000,02-03-2024,29-08-2026,3,107524,United States,New York City,New York,10009,0,0,CHO-NUT-13000,10,17.45,5,12.45,5.0,4,2
144,US-2021-111157-CHO-MIL-31000,02-03-2024,27-08-2026,3,111157,United States,Philadelphia,Pennsylvania,19120,0,0,CHO-MIL-31000,9,9.75,3,6.33,3.42,2,0
145,US-2021-127978-CHO-TRI-54000,03-03-2024,29-08-2026,3,127978,United States,Columbus,Ohio,43229,0,0,CHO-TRI-54000,11,18.75,5,12.25,6.5,1,2
146,US-2021-105648-CHO-MIL-31000,03-03-2024,28-08-2026,3,105648,United States,San Diego,California,92037,0,3,CHO-MIL-31000,9,9.75,3,6.33,3.42,7,0
147,US-2021-130421-CHO-NUT-13000,03-03-2024,28-08-2026,3,130421,United States,Houston,Texas,77095,0,2,CHO-NUT-13000,10,10.47,3,7.47,3.0,7,0
148,US-2021-155852-CHO-FUD-51000,03-03-2024,28-08-2026,2,155852,United States,Wilmington,North Carolina,28403,0,1,CHO-FUD-51000,8,14.4,4,9.6,4.8,6,2
149,US-2021-127964-CHO-SCR-58000,03-03-2024,29-08-2026,3,127964,United States,New York City,New York,10035,0,0,CHO-SCR-58000,12,18.0,5,12.5,5.5,5,2
150,US-2021-127964-CHO-SCR-58000,03-03-2024,29-08-2026,3,127964,United States,New York City,New York,10035,0,0,CHO-SCR-58000,12,10.8,3,7.5,3.3,3,0
151,US-2021-127978-CHO-SCR-58000,03-03-2024,29-08-2026,3,127978,United States,Columbus,Ohio,43229,0,0,CHO-SCR-58000,12,10.8,3,7.5,3.3,4,0
152,US-2021-127978-CHO-NUT-13000,03-03-2024,29-08-2026,3,127978,United States,Columbus,Ohio,43229,0,0,CHO-NUT-13000,10,27.92,8,19.92,8.0,6,1
153,US-2021-127964-CHO-MIL-31000,03-03-2024,29-08-2026,3,127964,United States,New York City,New York,10035,0,0,CHO-MIL-31000,9,3.25,1,2.11,1.14,3,0
154,US-2021-117016-CHO-NUT-13000,04-03-2024,30-08-2026,3,117016,United States,Margate,Florida,33063,0,1,CHO-NUT-13000,10,10.47,3,7.47,3.0,3,0
155,US-2021-116239-CHO-FUD-51000,04-03-2024,25-08-2026,1,116239,United States,Columbia,South Carolina,29203,0,1,CHO-FUD-51000,8,18.0,5,12.0,6.0,1,2
156,US-2021-169061-CHO-TRI-54000,05-03-2024,29-08-2026,2,169061,United States,Yonkers,New York,10701,0,0,CHO-TRI-54000,11,11.25,3,7.35,3.9,3,0
157,US-2021-169061-CHO-NUT-13000,05-03-2024,29-08-2026,2,169061,United States,Yonkers,New York,10701,0,0,CHO-NUT-13000,10,20.94,6,14.94,6.0,5,1
